
2024/07/27 (23:37:55) | ===> btop++ v.1.3.2
2024/07/27 (23:37:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/28 (00:45:53) | ===> btop++ v.1.3.2
2024/07/28 (00:45:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/28 (09:32:57) | ===> btop++ v.1.3.2
2024/07/28 (09:32:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/28 (09:33:49) | ===> btop++ v.1.3.2
2024/07/28 (09:33:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/28 (09:34:42) | ===> btop++ v.1.3.2
2024/07/28 (09:34:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/28 (09:35:32) | ===> btop++ v.1.3.2
2024/07/28 (09:35:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/28 (09:37:29) | ===> btop++ v.1.3.2
2024/07/28 (09:37:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/28 (09:38:22) | ===> btop++ v.1.3.2
2024/07/28 (09:38:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/28 (09:40:39) | ===> btop++ v.1.3.2
2024/07/28 (09:40:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/28 (09:43:07) | ===> btop++ v.1.3.2
2024/07/28 (09:43:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/28 (09:46:10) | ===> btop++ v.1.3.2
2024/07/28 (09:46:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/28 (09:46:35) | ===> btop++ v.1.3.2
2024/07/28 (09:46:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/28 (09:48:32) | ===> btop++ v.1.3.2
2024/07/28 (09:48:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/28 (17:57:55) | ===> btop++ v.1.3.2
2024/07/28 (17:57:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/28 (18:04:52) | ===> btop++ v.1.3.2
2024/07/28 (18:04:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/28 (18:58:02) | ===> btop++ v.1.3.2
2024/07/28 (18:58:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/28 (18:58:52) | ===> btop++ v.1.3.2
2024/07/28 (18:58:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/28 (19:02:28) | ===> btop++ v.1.3.2
2024/07/28 (19:02:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/28 (19:04:50) | ===> btop++ v.1.3.2
2024/07/28 (19:04:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/28 (19:05:16) | ===> btop++ v.1.3.2
2024/07/28 (19:05:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/28 (19:18:43) | ===> btop++ v.1.3.2
2024/07/28 (19:18:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/28 (19:22:22) | ===> btop++ v.1.3.2
2024/07/28 (19:22:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/28 (19:23:15) | ===> btop++ v.1.3.2
2024/07/28 (19:23:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/28 (19:25:31) | ===> btop++ v.1.3.2
2024/07/28 (19:25:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/28 (19:28:12) | ===> btop++ v.1.3.2
2024/07/28 (19:28:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/28 (21:01:54) | ===> btop++ v.1.3.2
2024/07/28 (21:01:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/28 (21:03:09) | ===> btop++ v.1.3.2
2024/07/28 (21:03:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/28 (21:03:53) | ===> btop++ v.1.3.2
2024/07/28 (21:03:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/28 (22:07:39) | ===> btop++ v.1.3.2
2024/07/28 (22:07:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/29 (11:05:27) | ===> btop++ v.1.3.2
2024/07/29 (11:05:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/29 (11:16:43) | ===> btop++ v.1.3.2
2024/07/29 (11:16:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/29 (11:33:59) | ===> btop++ v.1.3.2
2024/07/29 (11:33:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/29 (12:11:38) | ===> btop++ v.1.3.2
2024/07/29 (12:11:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/29 (12:12:12) | ===> btop++ v.1.3.2
2024/07/29 (12:12:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/29 (12:14:19) | ===> btop++ v.1.3.2
2024/07/29 (12:14:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/29 (12:15:15) | ===> btop++ v.1.3.2
2024/07/29 (12:15:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/29 (12:17:24) | ===> btop++ v.1.3.2
2024/07/29 (12:17:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/29 (12:18:04) | ===> btop++ v.1.3.2
2024/07/29 (12:18:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/29 (12:19:36) | ===> btop++ v.1.3.2
2024/07/29 (12:19:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/29 (12:22:05) | ===> btop++ v.1.3.2
2024/07/29 (12:22:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/29 (13:07:14) | ===> btop++ v.1.3.2
2024/07/29 (13:07:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/29 (19:54:58) | ===> btop++ v.1.3.2
2024/07/29 (19:54:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/29 (19:58:41) | ===> btop++ v.1.3.2
2024/07/29 (19:58:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/29 (20:01:26) | ===> btop++ v.1.3.2
2024/07/29 (20:01:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/29 (20:02:57) | ===> btop++ v.1.3.2
2024/07/29 (20:02:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/29 (20:05:37) | ===> btop++ v.1.3.2
2024/07/29 (20:05:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/29 (20:11:33) | ===> btop++ v.1.3.2
2024/07/29 (20:11:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/29 (23:44:36) | ===> btop++ v.1.3.2
2024/07/29 (23:44:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/30 (14:58:48) | ===> btop++ v.1.3.2
2024/07/30 (14:58:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/30 (14:59:16) | ===> btop++ v.1.3.2
2024/07/30 (14:59:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/30 (15:01:36) | ===> btop++ v.1.3.2
2024/07/30 (15:01:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/30 (15:05:01) | ===> btop++ v.1.3.2
2024/07/30 (15:05:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/30 (20:44:26) | ===> btop++ v.1.3.2
2024/07/30 (20:44:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/30 (21:02:53) | ===> btop++ v.1.3.2
2024/07/30 (21:02:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/30 (22:57:11) | ===> btop++ v.1.3.2
2024/07/30 (22:57:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/31 (20:27:32) | ===> btop++ v.1.3.2
2024/07/31 (20:27:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/31 (20:28:25) | ===> btop++ v.1.3.2
2024/07/31 (20:28:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/31 (21:10:06) | ===> btop++ v.1.3.2
2024/07/31 (21:10:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/31 (21:13:15) | ===> btop++ v.1.3.2
2024/07/31 (21:13:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/31 (21:20:30) | ===> btop++ v.1.3.2
2024/07/31 (21:20:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/31 (21:22:48) | ===> btop++ v.1.3.2
2024/07/31 (21:22:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/31 (21:26:25) | ===> btop++ v.1.3.2
2024/07/31 (21:26:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/01 (18:01:04) | ===> btop++ v.1.3.2
2024/08/01 (18:01:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/01 (19:52:52) | ===> btop++ v.1.3.2
2024/08/01 (19:52:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/01 (19:55:06) | ===> btop++ v.1.3.2
2024/08/01 (19:55:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/01 (19:57:47) | ===> btop++ v.1.3.2
2024/08/01 (19:57:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/01 (20:03:24) | ===> btop++ v.1.3.2
2024/08/01 (20:03:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/01 (20:04:05) | ===> btop++ v.1.3.2
2024/08/01 (20:04:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/01 (20:14:03) | ===> btop++ v.1.3.2
2024/08/01 (20:14:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/01 (20:15:21) | ===> btop++ v.1.3.2
2024/08/01 (20:15:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/01 (20:19:37) | ===> btop++ v.1.3.2
2024/08/01 (20:19:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/01 (20:36:24) | ===> btop++ v.1.3.2
2024/08/01 (20:36:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/01 (21:34:52) | ===> btop++ v.1.3.2
2024/08/01 (21:34:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/01 (21:34:59) | ===> btop++ v.1.3.2
2024/08/01 (21:34:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/02 (15:08:06) | ===> btop++ v.1.3.2
2024/08/02 (15:08:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/02 (15:46:48) | ===> btop++ v.1.3.2
2024/08/02 (15:46:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/02 (19:07:22) | ===> btop++ v.1.3.2
2024/08/02 (19:07:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/02 (19:09:36) | ===> btop++ v.1.3.2
2024/08/02 (19:09:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

